#{"t_start": 1766243797.653455, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
335.0,3123,3875.881846
485.0,3895,3885.000122
300.0,2973,3902.961055
350.0,2915,3909.157951
210.0,2105,3913.202623
290.0,2309,3917.883087
260.0,2437,3923.625837
490.0,3473,3931.962032
360.0,2927,3937.491038
345.0,2929,3945.356718
275.0,1985,3952.139965
290.0,2879,3963.462967
460.0,2583,3973.847331
205.0,2007,3981.243363
415.0,2915,3991.947037
200.0,1847,3998.249653
335.0,2591,4007.267527
155.0,2077,4015.453274
290.0,2601,4024.088773
350.0,2573,4030.668072
355.0,3227,4037.944645
340.0,3291,4044.837176
210.0,2379,4050.860188
255.0,2097,4056.492625
440.0,2961,4063.363289
285.0,2327,4069.36796
135.0,1817,4073.492082
145.0,1505,4076.560054
75.0,1147,4079.133395
195.0,1965,4083.186761
165.0,2027,4088.308841
135.0,1219,4091.270921
135.0,1449,4094.887828
260.0,1527,4098.86468
185.0,2201,4104.541207
165.0,1747,4108.863755
165.0,1389,4112.16434
170.0,1977,4117.363524
230.0,2053,4122.13028
230.0,2137,4126.990835
280.0,2395,4131.734903
530.0,2809,4137.158859
510.0,3681,4144.256923
270.0,2029,4148.129155
265.0,2645,4153.184002
215.0,1731,4156.472765
235.0,1921,4160.122241
350.0,2831,4174.206364
400.0,2901,4179.76902
235.0,3155,4185.803101
260.0,2225,4190.048926
610.0,4131,4198.020761
105.0,2041,4201.966641
335.0,3393,4208.484244
425.0,2539,4213.319211
235.0,2701,4218.455666
220.0,2247,4222.707672
260.0,2909,4228.471278
580.0,4737,4237.570655
320.0,3643,4244.558231
225.0,2015,4248.409241
365.0,2884,4253.96661
365.0,3128,4260.358996
160.0,1921,4264.063092
295.0,2743,4269.387277
650.0,4260,4277.549475
75.0,1457,4280.312178
385.0,2540,4285.304245
370.0,3765,4292.550735
120.0,1935,4296.285706
305.0,3009,4302.128517
105.0,2069,4306.10049
495.0,2643,4311.261906
425.0,3920,4318.970987
300.0,3133,4325.40409
440.0,2891,4331.031132
700.0,5011,4340.708662
35.0,1399,4343.433932
380.0,2951,4349.27458
225.0,2247,4353.584529
370.0,3201,4359.754202
275.0,2217,4364.041074
515.0,4195,4384.664192
440.0,3283,4390.972024
135.0,1887,4394.886384
475.0,3861,4404.464828
255.0,2747,4411.348665
430.0,4821,4420.924742
420.0,3401,4427.43314
220.0,3007,4433.362963
210.0,2331,4437.882366
570.0,3035,4443.705906
510.0,3229,4449.929735
200.0,2115,4453.98061
95.0,1569,4457.007446
300.0,2587,4462.002185
140.0,1949,4465.760054
605.0,3109,4471.745522
155.0,2043,4475.644332
520.0,3269,4481.946284
415.0,3591,4488.861666
365.0,2977,4494.575173
285.0,2555,4499.452945
545.0,4397,4507.860267
205.0,2277,4512.298235
235.0,2137,4516.426955
320.0,2307,4520.868727
225.0,2223,4525.153668
345.0,2577,4530.212808
365.0,2813,4535.669585
615.0,3525,4542.399009
390.0,2777,4547.800626
335.0,2663,4552.879305
490.0,3495,4559.543205
50.0,1379,4562.200773
160.0,1491,4565.056767
295.0,2709,4570.2717
365.0,2229,4574.577617
315.0,2843,4592.489178
440.0,2951,4598.095481
585.0,3051,4604.007107
575.0,3951,4611.563106
295.0,2435,4616.240268
245.0,2431,4620.932184
445.0,4669,4629.945304
105.0,1441,4632.681152
455.0,3539,4639.500298
180.0,1839,4643.060425
